id,name,suggested_qty,suggested_note,suggested_by,suggested_at
346,halved tomatoes,4000,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 4 x 8/12 OZ|Check before prepping - uncertain data - may need 4 x 8/12 OZ|Revisa antes de preparar - datos inciertos - puede necesitar 4 x 8/12 OZ",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
347,Honey,,"yellow|Chiuso oggi - controlla stock domani|Closed today - check stock tomorrow|Cerrado hoy - revisar stock manana",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
385,Italian cream,2900,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 2.9kg|Check before prepping - uncertain data - may need 2.9kg|Revisa antes de preparar - datos inciertos - puede necesitar 2.9kg",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
471,Lamb,1477,"red|Prepara oggi · 1477 pezzi · hai 23 pezzi|Prep today · 1477 pieces · you have 23 pieces|Prepara hoy · 1477 piezas · tienes 23 piezas",bot-preplist-builder-v25,2026-07-02 09:00:05.37+00
247,Lemon cream,1,"red|Prepara oggi · 1g · stock finito|Prep today · 1g · out of stock|Prepara hoy · 1g · sin stock",bot-preplist-builder-v24,2026-07-01 21:50:42.388+00
436,Lemon Zest,1,"yellow|Chiuso oggi - controlla stock domani - possibile 1g|Closed today - check stock tomorrow - possible need 1g|Cerrado hoy - revisar stock manana - posible necesitar 1g",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
412,Maccheroni,24500,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 7 Grams|Check before prepping - uncertain data - may need 7 Grams|Revisa antes de preparar - datos inciertos - puede necesitar 7 Grams",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
423,Mash Potato,2800,"yellow|Stock basso - 2.8kg - arrivi a Lunedi|Low stock - 2.8kg - good through Monday|Stock bajo - 2.8kg - llegas al Lunes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
480,Meatballs,240,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 240 pz|Check before prepping - uncertain data - may need 240 pieces|Revisa antes de preparar - datos inciertos - puede necesitar 240 piezas",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
349,Meringue,239,"red|Prepara oggi · 239 pezzi · hai 6 pezzi|Prep today · 239 pieces · you have 6 pieces|Prepara hoy · 239 piezas · tienes 6 piezas",bot-preplist-builder-v25,2026-07-02 09:00:05.37+00
350,Mimosa,,"green|Hai 66 pezzi in casa - arrivi a Martedi|You have 66 pieces - good through Tuesday|Tienes 66 piezas en casa - llegas al Martes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
351,Mint bavarese,,"green|Hai 19 pezzi in casa - arrivi a Martedi|You have 19 pieces - good through Tuesday|Tienes 19 piezas en casa - llegas al Martes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
376,Mint liquid,,"yellow|Chiuso oggi - controlla stock domani|Closed today - check stock tomorrow|Cerrado hoy - revisar stock manana",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
449,Mushrooms,,"green|Hai 2.5kg in casa - arrivi a Venerdi|You have 2.5kg - good through Friday|Tienes 2.5kg en casa - llegas al Viernes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
298,Mushrooms,1.5,,bot-preplist-builder-v5,2026-06-25 09:00:03.745+00
